ATC code,drug,count
A07EC02,DB00244,1233481,
M01AX01,DB00461,1228207,
D05AX52,DB02300,1228958,
D05AX02,DB02300,1228958,
N06AB04,DB00215,1221133,
N03AB02,DB00252,1231762,
N03AB52,DB00252,1231762,
N04BC04,DB00268,1228485,
N02CC03,DB00315,1232114,
N02AJ13,DB00193,1229930,
N02AJ06,DB00318,1233849,
N02AJ01,DB01551,1227159,
N06AA09,DB00321,1230952,
N06CA01,DB00321,1230952,
N05AH03,DB00334,1229175,
A02BC01,DB00338,1226453,
A02BD05,DB00338,1226453,
A02BD05,DB01060,1230235,
A02BD01,DB00338,1226453,
A02BD01,DB01060,1230235,
N06AX11,DB00370,1221159,
A10BD04,DB00412,1226674,
A10BD04,DB00222,1231931,
A10BG02,DB00412,1226674,
A10BD03,DB00412,1226674,
A10BD03,DB00331,1224407,
N05CF02,DB00425,1225744,
J01EE03,DB00440,1230975,
J01EA01,DB00440,1230975,
J04AM08,DB00440,1230975,
J01EE01,DB00440,1230975,
J01EE04,DB00440,1230975,
J01EE02,DB00440,1230975,
J01EE05,DB00440,1230975,
J01EE07,DB00440,1230975,
R06AX13,DB00455,1232630,
N06AA02,DB00458,1227605,
M09AA72,DB00468,1231009,
P01BC01,DB00468,1231009,
N06CA03,DB00472,1227498,
N06AB03,DB00472,1227498,
N06AX21,DB00476,1222388,
A02BA51,DB00501,1231859,
A02BA01,DB00501,1231859,
N06AA10,DB00540,1226974,
N03AF01,DB00564,1224019,
N07CA52,DB00568,1218457,
N07CA02,DB00568,1218457,
C07FX01,DB00571,1224694,
C07AA05,DB00571,1224694,
C07BA05,DB00571,1224694,
S01EA04,DB00575,971622,
C02LC01,DB00575,971622,
C02AC01,DB00575,971622,
N02CX02,DB00575,971622,
C02LC51,DB00575,971622,
S01CC01,DB00586,1229776,
S01BC03,DB00586,1229776,
M01AB55,DB00586,1229776,
M02AA15,DB00586,1229776,
M01AB05,DB00586,1229776,
D11AX18,DB00586,1229776,
J01CR50,DB01060,1230235,
C09BB10,DB00661,1225500,
C09BB10,DB00519,1226091,
C08DA51,DB00661,1225500,
C08DA01,DB00661,1225500,
B01AA03,DB00682,1228306,
N06AB05,DB00715,1231064,
B01AC04,DB00758,1230508,
G03EA02,DB00624,1181227,
M01AG01,DB00784,972116,
G02CC02,DB00788,1229747,
M02AA12,DB00788,1229747,
M01AE56,DB00788,1229747,
M01AE52,DB00788,1229747,
M01AE52,DB00736,1232909,
M01AE02,DB00788,1229747,
D01AE15,DB00857,1219109,
D01BA02,DB00857,1219109,
A02BA07,DB00863,1239641,
A02BA02,DB00863,1239641,
J04AM08,DB00440,1230975,
R03AL11,DB01222,1223827,
R03AL12,DB00764,1229948,
L04AX01,DB00993,1223440,
C08CA55,DB01115,1227664,
C08GA01,DB01115,1227664,
C08CA05,DB01115,1227664,
C07FB03,DB01115,1227664,
C07FB03,DB00335,1238230,
C01BD01,DB01118,1232027,
A02BD12,DB01060,1230235,
A02BD13,DB01060,1230235,
C07AG02,DB01136,1226520,
C07FX06,DB01136,1226520,
A03FA03,DB01184,1227050,
C01BC04,DB01195,1231758,
A03FA01,DB01233,1226341,
N06AA04,DB01242,1231173,
